CPU,Memory,Committed VM,Free Physical Mem,Load Avg,Total Swap,Free swap,used swap,No of Read,Read Bytes,No of Writes,Write Bytes,Total disk space,Used disk space,Free disk space,File count,Total thread count,Daemon thread count,Peak thread count,Running thread count,Rx-bytes,RX-dropped,Rx-error,Rx-frames,Rx-overruns,Rx-packets,Speed,TX-Bytes,TX-Carrier,TX-Collisions,TX-Dropped,TX-Errors,TX-Overruns,TX-Packets
55,75,5444,1908,3.19,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1506032,0,0,0,0,1458,-1,169631,0,0,0,0,0,1241
38,75,5444,1909,3.34,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1506224,0,0,0,0,1461,-1,170007,0,0,0,0,0,1245
17,75,5444,1913,3.15,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1506752,0,0,0,0,1469,-1,170759,0,0,0,0,0,1253
27,76,5444,1839,3.38,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1732224,0,0,0,0,1809,-1,253606,0,0,0,0,0,1639
18,76,5444,1863,3.11,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1764794,0,0,0,0,1876,-1,273341,0,0,0,0,0,1709
22,76,5444,1874,2.94,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1843114,0,0,0,0,1984,-1,298436,0,0,0,0,0,1801
19,76,5444,1871,2.94,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1870775,0,0,0,0,2025,-1,307193,0,0,0,0,0,1833
26,76,5444,1866,2.95,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1871501,0,0,0,0,2036,-1,308227,0,0,0,0,0,1844
26,76,5444,1866,2.95,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1898772,0,0,0,0,2086,-1,321989,0,0,0,0,0,1888
46,78,5444,1694,3.12,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,2217451,0,0,0,0,2517,-1,384188,0,0,0,0,0,2299
39,79,5444,1577,3.51,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,2860324,0,0,0,0,3094,-1,442004,0,0,0,0,0,2651
37,81,5444,1496,3.79,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,4344206,0,0,0,0,4352,-1,576474,0,0,0,0,0,3524
29,81,5444,1490,3.96,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,4348266,0,0,0,0,4376,-1,581426,0,0,0,0,0,3550
30,81,5444,1445,4.61,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,4904616,0,0,0,0,4926,-1,649766,0,0,0,0,0,3871
28,81,5444,1445,4.4,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,6499654,0,0,0,0,6079,-1,700877,0,0,0,0,0,4323
21,82,5444,1415,4.29,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,6579874,0,0,0,0,6187,-1,774171,0,0,0,0,0,4437
20,81,5444,1453,3.94,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,6583821,0,0,0,0,6227,-1,804968,0,0,0,0,0,4471
17,81,5444,1459,3.63,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,6587349,0,0,0,0,6253,-1,824875,0,0,0,0,0,4509
24,81,5444,1423,3.34,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,6921437,0,0,0,0,6548,-1,846312,0,0,0,0,0,4670
36,82,5444,1399,3.55,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,7682690,0,0,0,0,7175,-1,903055,0,0,0,0,0,5000
40,82,5444,1380,3.67,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,8677948,0,0,0,0,8028,-1,999685,0,0,0,0,0,5539
47,83,5444,1323,3.69,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,9477855,0,0,0,0,8934,-1,1144746,0,0,0,0,0,6358
24,83,5444,1337,3.4,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,9792427,0,0,0,0,9263,-1,1174126,0,0,0,0,0,6603
15,83,5444,1343,3.12,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,9918546,0,0,0,0,9384,-1,1185310,0,0,0,0,0,6695
12,82,5444,1355,2.87,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,10038615,0,0,0,0,9477,-1,1189369,0,0,0,0,0,6737
33,82,5444,1345,3.04,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,10069182,0,0,0,0,9564,-1,1208196,0,0,0,0,0,6818
19,82,5444,1354,2.8,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,10175410,0,0,0,0,9695,-1,1224344,0,0,0,0,0,6916
16,82,5444,1349,2.66,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,10328998,0,0,0,0,9830,-1,1233404,0,0,0,0,0,6994
22,83,5444,1329,2.52,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,10865781,0,0,0,0,10230,-1,1254977,0,0,0,0,0,7178
42,83,5444,1321,2.8,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,11385131,0,0,0,0,10663,-1,1287226,0,0,0,0,0,7421
22,83,5444,1332,2.66,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,11570662,0,0,0,0,10801,-1,1294303,0,0,0,0,0,7494
27,83,5444,1325,2.44,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,11711050,0,0,0,0,10935,-1,1305715,0,0,0,0,0,7584
16,83,5444,1313,2.33,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,11805391,0,0,0,0,11028,-1,1314881,0,0,0,0,0,7668
23,82,5444,1348,2.14,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,11938456,0,0,0,0,11142,-1,1327518,0,0,0,0,0,7752
24,83,5444,1331,2.05,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,12042908,0,0,0,0,11246,-1,1338106,0,0,0,0,0,7831
29,82,5444,1345,2.21,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,12142913,0,0,0,0,11354,-1,1373326,0,0,0,0,0,7927
12,83,5444,1342,2.19,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,12270293,0,0,0,0,11454,-1,1377781,0,0,0,0,0,7972
